"CPW_LOT","DEVICE","FACILITY","TOP","IOP","VPPK","VXOVR","VEA","WAVELENGTH","LFIBER","EXT_RATIO","DISP_PENALTY","MASK_MARGIN","SMSR","RISE_TIME","FALL_TIME","OVERSHOOT","JITTER","CROSSING","ISS","RTH","IPD","IPHOTO","DEVICE_FM","TEST_RUNS","STATE","PRODUCT","FIRST_FAIL_MODE","TEST_DT","PKG_CODE"
"CK-767617","144708776","PKGF10GB5","43","76.75",".45","1.47","-.7","1537.513",".733","11.5",".75","20","53.63","21.4","24.8","1.18","1.99","50",".1557","4.73564","585.377","28.63528","PASS","7","C","1655L0","PASS","18-JUN-15","40km TDM"
"770938","144808236","PKGF10GB6","49.95","90",".44","1.51","-.9","1552.709","2.949","10.6","1.75","20","51.83","19.2","23.3",".91","1.54","50",".1387","3.61181","610.175","34.07988","PASS","1","C","1656L0","PASS","19-JUN-15","80km TDM"
"777282","145002636","PKGF10GB3","38.84","94.9",".65","1.55","-1.25","1561.791","2.214","10.9","1.17","19","53.96","18.1","22.5","1.07","2.24","48",".1679","5.59625","638.437","45.8845","PASS","12","C","1626S0","PASS","16-JUN-15","80km TDM"
"777392","145002710","PKGF10GB3","45.05","70",".4","1.47","-.7","1549.713","1.454","10.7",".15","20","50.35","20.9","23.3","1.34","1.8","49",".1455","4.374","404.364","26.78451","PASS","5","C","1655L0","PASS","18-JUN-15","40km TDM"
"791473","150303168","PKGF10GB2","45","54",".4","1.44","-.7","1553.004","1.739","11.3","1.11","20","49.1","19.9","21.6","1.86","2.58","50",".1543","4.37934","304.036","23.19602","PASS","5","C","1655L0","PASS","18-JUN-15","40km TDM"
"CK-794234","150400867","PKGF10GB4","43.65","58.46",".45","1.55","-1","1560.603",".751","10.6","1.35","20","48.57","19.2","26",".55","2.09","50",".1455","4.61662","263.095","31.56118","PASS","1","C","1655L021","PASS","23-JUN-15","40km DWDM"
"796430","150403896","PKGF10GB2","43","79.53",".55","1.45","-.7","1545.827",".742","10.8","1.61","20","50.41","18.7","21.8",".92","2.43","50",".1681","4.73945","382.544","25.64015","PASS","4","C","1655L0","PASS","18-JUN-15","40km TDM"
"800726","150503187","PKGF10GB2","49.9","51",".5","1.42","-.85","1538.076","1.635","10.6","1.78","16","48.55","20.4","22.1","2.09","3.14","49",".1634","3.62783","229.496","24.86866","PASS","4","C","1655L0","PASS","18-JUN-15","40km TDM"
"802064","150505224","PKGF10GB3","37.5","67",".45","1.39","-.8","1543.113","1.444","10.6",".94","20","52.16","22","23.3",".98","2.05","49",".1496","5.90372","530.098","28.93552","PASS","6","C","1625S0","PASS","11-JUN-15","40km TDM"
"802212","150505444","PKGF10GB2","39.97","51",".74","1.45","-.9","1554.943","1.548","10.4","998.8","7","48.58","3.7","12.4","1.94","4.87","49",".1925","5.34218","257.343","26.40015","FAIL","6","C","1655L028","FAIL_EXT_RATIO","02-MAR-15","40km DWDM"
"802351","150505683","PKGF10GB2","45","70.92",".35","1.37","-.85","1561.026",".577","10.9","1.76","20","51.99","19","22.8","1.98","2.21","50",".1497","4.3801","658.274","29.12599","PASS","3","C","1655L0","PASS","18-JUN-15","40km TDM"
"802416","150505748","PKGF10GB3","45","72.72",".57","1.2","-.7","1544.328",".749","10.5","1.14","15","50.28","21.4","21.7",".49","2.01","50",".1599","4.374","692.607","24.15871","PASS","3","C","1655L0","PASS","18-JUN-15","40km TDM"
"802656","150506403","PKGF10GB7","46.95","73",".52","1.51","-.9","1530.337","3.418","10.9","2.28","20","46.65","19.1","24.6","1.67","2.51","50",".1582","4.05585","353.08","33.76633","PASS","1","C","1656L359","PASS","12-JUN-15","80km DWDM"
"803117","150508652","PKGF10GB5","45.05","68",".4","1.5","-.7","1561.598","1.708","11.1",".25","17","51.61","20.5","24.6",".71","2.04","50",".1515","4.37629","832.86","24.53483","PASS","5","C","1655L0","PASS","18-JUN-15","40km TDM"
"804135","150509172","PKGF10GB6","40.1","90",".47","1.54","-.9","1548.7627","1.876","11","1.45","18","47.72","19.5","23.2","1.26","1.76","50",".1404","5.31243","1289.811","34.34886","PASS","1","C","1656L0","PASS","16-JUN-15","80km TDM"
"804465","150509813","PKGF10GB3","50","53",".57",".71","-.13","-999","3.192","9.2","998.8","-999","-999","-999","-999","-999","-999","52",".1606","-999","177.462","10.50004","FAIL","2","C","1656L3T","FAIL_CROSSING","23-FEB-15","80km TDM"
"CK-805245","150601789","PKGF10GB5","49.95","77",".46","1.46","-1.1","1535.974","2.305","10.6","2.04","18","51.32","22","24.8",".73","2.09","50",".1588","3.61868","391.88","36.82715","PASS","1","C","1656L0","PASS","21-FEB-15","80km TDM"
"805975","150606230","PKGF10GB4","37.5","57",".65","1.42","-.8","1558.687","1.455","10.6","1.09","20","49.7","20.2","25","1.52","1.69","50",".1612","5.906","538.557","23.72429","PASS","1","C","1625S0","PASS","17-JUN-15","40km TDM"
"806005","150606261","PKGF10GB4","45","60",".45","1.44","-.7","1554.088","1.684","10.8","1.13","20","49.35","20.7","25.5","1.25","1.72","50",".1448","4.37629","321.424","21.86639","PASS","4","C","1655L0","PASS","18-JUN-15","40km TDM"
"806014","150606270","PKGF10GB3","45","51",".45","1.47","-.7","1554.552","1.747","10.5",".4","20","48.76","19.8","22.5","3.45","2.01","50",".1496","4.374","309.071","21.41317","PASS","4","C","1655L0","PASS","18-JUN-15","40km TDM"
"806099","150606354","PKGF10GB3","45","60",".45","1.45","-.7","1541.277","1.703","10.5",".02","20","48.02","20","21.7","1.69","1.88","49",".1497","4.374","771.42","22.07171","PASS","4","C","1655L0","PASS","18-JUN-15","40km TDM"
"806437","150606910","PKGF10GB2","45","59",".55","1.37","-.95","1547.24","1.117","10.6","1.63","15","47.78","18.1","21.8",".94","2.71","49",".168","4.3801","406.271","28.98667","PASS","5","C","1655L0","PASS","18-JUN-15","40km TDM"
"CK-807061","150608301","PKGF10GB7","48","89.1",".52","1.59","-.8","1549.316","1.659","11.5","2.2","15","48.64","17.8","24",".99","2.62","51",".1584","3.89563","1205.817","30.28157","PASS","3","C","1656L035","PASS","19-JUN-15","80km DWDM"
"807146","150608441","PKGF10GB3","43.95","90",".56","1.54","-.9","1545.165","1.99","10.9","1.66","20","52.79","19.1","22.7",".72","1.9","50",".1593","4.5594","898.756","35.0717","PASS","1","C","1656L0","PASS","16-JUN-15","80km TDM"
"807435","150608729","PKGF10GB7","45.95","90",".62","1.61","-.9","1541.117","2.092","11.1","1.44","20","49.46","22.2","25.3","1.6","2.66","51",".1671","4.21759","546.53","36.00214","PASS","1","C","1656L0","PASS","18-JUN-15","80km TDM"
"808772","150701198","PKGF10GB3","45","68",".44","1.44","-.7","1544.905","1.728","10.6","-.39","20","52.49","20.5","22.9","1.42","1.75","50",".1487","4.374","397.04","27.07737","PASS","3","C","1655L0","PASS","18-JUN-15","40km TDM"
"808906","150701327","PKGF10GB3","45.05","79.9",".4","1.39","-.7","1539.609",".401","10.8","1.08","20","52.84","20.9","22.7","1.38","1.86","51",".1453","4.374","400.32","29.47938","PASS","3","C","1655L0","PASS","18-JUN-15","40km TDM"
"809422","150702909","PKGF10GB4","40.1","79.9",".5","1.53","-.65","1559.9",".488","11.7",".42","20","51.31","20.9","25.5",".56","1.62","50",".1492","5.31777","868.227","28.61474","PASS","6","C","1655L0","PASS","18-JUN-15","40km TDM"
"809928","150703406","PKGF10GB4","45","58",".55","1.34","-.7","1535.839","1.729","10.8","1.64","20","47.49","-999","-999","-999","1.71","49",".153","1297.15","1297.15","21.99813","FAIL","3","C","1655L0","PASS","18-JUN-15","40km TDM"
"811544","150707461","PKGF10GB4","40","58",".6","1.53","-.9","1531.13","1.428","11",".4","17","45.47","20","25.5","1.46","1.88","50",".1573","5.33684","218.965","26.86073","PASS","7","C","1625S0","PASS","10-JUN-15","40km TDM"
"811765","150707705","PKGF10GB6","45","85",".55","1.48","-.9","1539.5544","2.389","10.8","2.17","20","51.15","20.2","24","1.46","2.02","49",".1458","4.37171","378.058","34.31463","FAIL","8","C","1626L4B","FAIL_CURV_0PSPNM","13-JUN-15","80km TDM"
"CK-811929","150707963","PKGF10GB3","40.04","70",".4","1.45","-.9","1590.317","1.019","12",".66","20","52.51","19.3","22.6","1.1","1.81","50",".1457","5.33532","617.609","31.55851","PASS","5","C","1625L0159","PASS","22-JUN-15","40km CWDM"
"812371","150708610","PKGF10GB1","30.1","94.9",".75","1.36","-1.05","1470.648",".78","10.3","998.8","-999","-999","-999","-999","-999","-999","50",".1714","-999","2122.616","34.30849","FAIL","3","C","1626L3147","FAIL_TUNING","17-MAR-15","70km CWDM"
"812888","150710308","PKGF10GB4","40.1","79.9",".6","1.43","-.55","1550.553",".449","11",".91","20","48.27","23.3","25.7",".48","1.56","50",".1571","5.31777","585.511","25.4145","PASS","5","C","1655L0","PASS","18-JUN-15","40km TDM"
"813388","150710963","PKGF10GB7","41.95","90",".67","1.57","-1","1534.956","2.148","11","2.96","19","48.7","19.3","24.5","2.37","2.49","50",".1715","4.93401","1364.683","34.70746","PASS","3","C","1656L0","PASS","19-JUN-15","80km TDM"
"813929","150801038","PKGF10GB7","41.95","91.35",".75","1.6","-.9","1542.992","2.492","12","2.2","20","51.37","21.6","24.7",".97","2.56","50",".1787","4.93477","879.303","37.54962","PASS","4","C","1656L0","PASS","23-JUN-15","80km TDM"
"814166","150801465","PKGF10GB7","49.99","91.86",".42","1.57","-.9","1546.872","1.591","10.7","1.51","20","49.8","20","24.9","2.07","2.42","51",".1501","3.61563","636.918","37.24368","PASS","4","C","1656L0","PASS","21-JUN-15","80km TDM"
"814997","150803837","PKGF10GB1","30.1","94.9",".45","1.55","-1.6","1590.599",".942","9.7","-999","0","53.13","16","23.7","3.45","3","52",".1481","8.04227","815.856","51.8996","FAIL","7","C","1626L0159","PASS","21-JUN-15","70km CWDM"
"816006","150806909","PKGF10GB3","40.04","70",".4","1.43","-.9","1611.106","1.696","11.4",".95","20","50.52","20.7","23.3",".67","1.96","51",".1454","5.33532","466.773","29.91445","PASS","5","C","1625L0161","PASS","19-JUN-15","40km CWDM"
"CK-816278","150807299","PKGF10GB3","38","79.9",".45","1.45","-.9","1590.319",".9","11.6",".7","20","52.07","19.7","23.1",".37","1.83","50",".15","5.78393","795.911","33.57439","PASS","5","C","1625L0159","PASS","22-JUN-15","40km CWDM"
"817063","150809252","PKGF10GB5","45.04","62",".4","1.5","-.7","1561.637","1.708","10.6",".52","20","52.73","21.2","25.4","1.04","2.14","50",".1514","4.37629","553.535","22.78068","PASS","4","C","1655L0","PASS","18-JUN-15","40km TDM"
"817064","150809253","PKGF10GB4","45.04","70",".4","1.5","-.7","1561.362","1.696","10.7",".55","20","49.98","22","26.2",".6","1.62","50",".1413","4.37629","817.685","24.02279","PASS","3","C","1655L0","PASS","19-JUN-15","40km TDM"
"817111","150809411","PKGF10GB4","45.03","62",".4","1.47","-.7","1561.596","1.668","10.7",".37","20","48.67","20","25.5","1.08","1.52","49",".1411","4.37629","913.578","22.94486","PASS","3","C","1655L0","PASS","18-JUN-15","40km TDM"
"817480","150900127","PKGF10GB4","35.02","-999","-.01","0","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999",".0007","-999","-999","-999","FAIL","11","C","1625S0","FAIL_IPD_CONTACT","15-JUN-15","40km TDM"
"820269","150906263","PKGF10GB5","45","70",".46","1.44","-.7","1551.216","1.424","10.5",".25","20","52.07","21","24.5",".47","1.86","49",".1566","4.37629","1029.259","23.99059","PASS","4","C","1655L0","PASS","18-JUN-15","40km TDM"
"818540","150906430","PKGF10GB5","45.04","70",".4","1.47","-.7","1548.843","1.37","10.8",".06","17","51.56","21.9","26.1","1.25","2.08","50",".1515","4.37629","1038.88","24.55594","PASS","5","C","1655L0","PASS","18-JUN-15","40km TDM"
"822151","151003293","PKGF10GB3","45.06","70",".4","1.51","-.7","1538.056","1.168","11.5","-.26","20","50.44","18.9","21.6",".62","1.79","50",".1454","4.374","328.985","28.06048","PASS","6","C","1655L0","PASS","18-JUN-15","40km TDM"
"822419","151004607","PKGF10GB7","40.1","90",".62","1.58","-1.1","1551.694","1.74","10.6","2.56","16","51.57","19.1","25","1.39","2.62","49",".1675","5.31548","781.204","42.26418","PASS","3","C","1656L0","PASS","22-JUN-15","80km TDM"
"823023","151006687","PKGF10GB1","45","79.14",".5","1.42","-.7","1551.455",".742","10.8",".91","20","52.9","23.2","26.2","1.01","2.41","49",".1506","4.37934","708.557","27.97246","PASS","12","C","1655L0","PASS","24-JUN-15","40km TDM"
"823665","151008091","PKGF10GB4","45","70",".45","1.5","-.7","1540.206","1.035","10.8",".63","20","47.61","20.3","25.8","2.09","1.61","49",".1451","4.37705","1449.693","24.79175","PASS","8","C","1655L0","PASS","11-JUN-15","40km TDM"
"824199","151009473","PKGF10GB3","40.1","94.9",".56","1.61","-.9","1538.534","1.63","10.5","1.63","17","51.78","16.4","23.5","1.81","2.45","49",".1595","5.31548","435.721","38.16748","PASS","3","C","1656L0","PASS","19-JUN-15","80km TDM"
"825987","151106322","PKGF10GB5","45.04","73.99",".4","1.47","-.7","1530.897",".751","10.6",".79","19","51.03","20.1","25.3",".65","2.04","49",".1516","4.37629","557.353","28.16691","PASS","3","C","1655L0","PASS","18-JUN-15","40km TDM"
"828676","151205421","PKGF10GB3","43.95","93.16",".49","1.56","-.9","1560.728","1.75","10.6","1.56","20","53.16","19.2","23.3",".94","2.02","51",".1531","4.55863","703.059","36.20874","PASS","4","C","1656L0","PASS","16-JUN-15","80km TDM"
"829568","151207567","PKGF10GB4","40","64",".55","1.5","-.9","-999","1.483","11",".35","7","-999","-999","-999","-999","1.56","49",".1586","-999","803.103","27.27775","FAIL","3","C","1625L0","FAIL_TUNING","08-APR-15","40km TDM"
"832851","151300466","PKGF10GB4","45","70",".45","1.49","-.7","1534.445","1.543","10.7",".26","20","48.01","19.8","25.7","1.99","1.57","50",".1452","4.37705","826.694","23.55397","PASS","6","C","1655L0","PASS","18-JUN-15","40km TDM"
"CK-830314","151301346","PKGF10GB4","47.44","94.9",".75","1.57","-1.1","1559.791","1.355","11.5","998.8","-999","-999","-999","-999","-999","-999","50",".1692","-999","559.019","42.5883","FAIL","5","C","1656L022","FAIL_TUNING","18-JUN-15","80km DWDM"
"831305","151303845","PKGF10GB5","53.02","79.9",".4","1.52","-.7","1561.272",".275","11.3",".66","19","53.7","18.3","23.8","1.2","2.12","50",".1517","3.22652","563.919","27.37682","PASS","9","C","1655L3T","PASS","29-MAY-15","40km TDM"
"831409","151303949","PKGF10GB3","40.1","94.9",".75","1.54","-1.3","-999",".933","11.4","998.9","-999","-999","-999","-999","-999","-999","49",".1759","-999","906.538","46.88662","FAIL","3","C","1656L0","FAIL_TUNING","22-JUN-15","80km TDM"
"831902","151305230","PKGF10GB7","49.99","90",".42","1.57","-.9","1560.532","1.739","10.8","1.91","20","49.74","19.8","24.6",".88","2.46","50",".1498","3.61486","888.617","34.85502","PASS","1","C","1656L0","PASS","18-JUN-15","80km TDM"
"832560","151306562","PKGF10GB3","41.95","92.97",".48","1.59","-.9","1549.864","1.741","10.6","2.26","17","52.2","18.6","23.3",".57","2.06","51",".1525","4.93401","1194.476","34.23302","PASS","1","C","1656L0","PASS","19-JUN-15","80km TDM"
"832581","151308554","PKGF10GB7","49.98","90",".42","1.53","-.9","1558.354","2.954","11.9","2.77","18","48.41","20.1","24.4",".41","2.31","50",".1497","3.61563","485.533","36.16156","PASS","2","C","1656L0","PASS","16-JUN-15","80km TDM"
"833387","151309401","PKGF10GB6","49.99","90",".42","1.56","-.9","1560.0024","1.701","10.8","1.89","20","51.56","19","23.1",".92","1.73","51",".1372","3.61257","1128.833","33.76376","PASS","2","C","1656L0","PASS","19-JUN-15","80km TDM"
"833872","151400775","PKGF10GB7","40.45","67",".52","1.55","-1.1","1557.365","2.366","10.7","2.87","20","49.35","20.6","25",".8","2.23","49",".1582","5.23995","338.423","36.90951","PASS","4","C","1656L025","PASS","14-JUN-15","80km DWDM"
"835868","151405021","PKGF10GB3","40.05","75.01",".4","1.45","-.9","1611.087",".987","12.3","1.23","20","52.3","19.5","22.8",".68","2.07","51",".1456","5.33379","441.443","31.62322","PASS","5","C","1625L0161","PASS","29-MAY-15","40km CWDM"
"836155","151405545","PKGF10GB2","30.1","94.9",".65","1.55","-1.6","1590.883","-.423","11.4","998.8","-999","-999","-999","-999","-999","-999","50",".1778","-999","1295.415","51.6743","FAIL","8","C","1626L0159","FAIL_TUNING","22-JUN-15","70km CWDM"
"CK-836583","151406468","PKGF10GB1","51","79.9",".45","1.42","-.7","1561.913",".672","11.9","1.08","20","50.17","21.2","19.5","1.72","2.34","50",".1471","3.47982","1164.178","24.79292","PASS","2","C","1655L0T","PASS","18-MAY-15","40km TDM"
"837044","151406992","PKGF10GB2","53","78.61",".4","1.54","-.7","1561.474",".592","11",".29","20","51.47","17.9","21.3",".92","2.83","50",".1552","3.22957","843.748","26.24011","PASS","4","C","1655L3T","PASS","25-MAY-15","40km TDM"
"837071","151407039","PKGF10GB7","49.95","90",".47","1.54","-.9","1560.703","2.947","10.6","2.64","19","51.66","20.2","25.1","1.15","2.19","50",".154","3.61639","698.526","35.1625","PASS","1","C","1656L0","PASS","17-JUN-15","80km TDM"
"837278","151407408","PKGF10GB6","33","90",".75","1.59","-1.23","-999","1.96","10.8","3.2","0","-999","-999","-999","-999","2.13","51",".1646","-999","1048.687","42.9106","FAIL","4","C","1626L0","FAIL_TUNING","27-MAY-15","80km TDM"
"838759","151501312","PKGF10GB3","45.95","90",".54","1.55","-.95","1555.111","1.872","10.9","2.67","20","52.16","19.3","22.3",".87","1.92","50",".1577","4.21683","1416.113","33.84797","PASS","1","C","1656L0","PASS","19-JUN-15","80km TDM"
"840048","151503857","PKGF10GB3","38","77.2",".45","1.45","-.9","1610.471",".988","12","1.1","20","52.03","20.3","22.3",".59","2.06","51",".1494","5.78317","431.067","31.32323","PASS","9","C","1625L0161","PASS","14-JUN-15","40km CWDM"
"841288","151505977","PKGF10GB4","48.1","94.9",".42","1.51","-1.05","1532.228","1.532","10.7","2.2","20","51.41","21.8","26.7",".55","1.71","50",".1469","3.88342","598.414","39.49071","PASS","1","C","1656L3T","PASS","27-APR-15","80km TDM"
"CK-843089","151510078","PKGF10GB1","53","75.33",".4","1.44","-.7","1541.82",".757","10.6","1.41","20","46.64","21.4","25.6","1.46","2.35","50",".1429","3.22728","289.898","26.53145","PASS","6","C","1655L3T","PASS","20-JUN-15","40km TDM"
"844086","151601760","PKGF10GB3","35","79.01",".36","1.41","-.8","1543.224","1.4","10.6","1.14","20","51.71","22.4","23.8",".57","2.05","50",".1418","6.54231","648.585","30.25151","PASS","4","C","1625S0","PASS","12-JUN-15","40km TDM"
"CK-845250","151607438","PKGF10GB3","37.5","79.9",".37","1.51","-.8","1549.84","1.012","10.6",".22","20","50.31","20.3","22.3",".61","1.8","50",".1431","5.90219","1066.453","31.06137","PASS","4","C","1625S0","PASS","30-MAY-15","40km TDM"
"CK-846190","151701080","PKGF10GB1","53","76.78",".4","1.47","-.7","1555.819",".79","11.2",".56","16","51.66","19.4","25.8","1.1","2.52","50",".1433","3.22881","759.953","26.23758","PASS","4","C","1655L3T","PASS","20-JUN-15","40km TDM"
"846282","151701172","PKGF10GB3","39.73","81.26",".67","1.58","-1.3","1546.116","1.737","10.4","998.9","-999","-999","-999","-999","-999","-999","50",".1693","-999","393.912","43.93507","FAIL","6","C","1656L339","FAIL_TUNING","21-JUN-15","80km DWDM"
"CK-846283","151701173","PKGF10GB4","41.91","94.9",".52","1.56","-1.05","1546.116","1.515","10.6","2.59","20","50.66","17.6","26.2",".59","1.84","51",".151","4.94469","1015.121","39.0795","PASS","4","C","1656L339","PASS","11-JUN-15","80km DWDM"
"CK-848074","151705116","PKGF10GB3","40.04","55",".4","1.35","-.8","1508.257","1.999","9.9",".34","20","50.43","20.7","22.3",".62","2.06","49",".1454","5.33455","704.204","23.57643","PASS","1","C","1625L0151","PASS","16-JUN-15","40km CWDM"
"851382","151709609","PKGF10GB3","37.5","76.96",".43","1.51","-.8","1553.96","1.405","10.6",".31","18","51.81","19.3","22",".85","3.59","50",".1478","5.90372","1035.019","29.04456","PASS","5","C","1625S0","PASS","12-JUN-15","40km TDM"
"CK-849692","151800361","PKGF10GB4","41.38","79.9",".4","1.45","-.7","1548.509",".257","10.9",".9","20","50.51","21.5","26.7",".34","1.68","50",".1419","5.04921","965.953","27.84803","PASS","1","C","1655L036","PASS","27-MAY-15","40km DWDM"
"853274","151804868","PKGF10GB3","35.04","-999","-.04","-.02","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-.0001","-999","-999","-999","FAIL","7","C","1655L044","FAIL_IPD_CONTACT","21-JUN-15","40km DWDM"
"853465","151805060","PKGF10GB2","38","70",".4","1.47","-.7","1546.965","6.818","-999","-999","-999","-999","-999","-999","-999","-999","-999",".1551","-999","-999","27.27199","FAIL","2","C","1655L052","FAIL_WAVELENGTH","23-JUN-15","40km DWDM"
"853468","151805063","PKGF10GB4","38","70",".4","1.47","-.7","1547.22","7.614","-999","-999","-999","-999","-999","-999","-999","-999","-999",".1419","-999","-999","25.12937","FAIL","2","C","1655L052","FAIL_WAVELENGTH","23-JUN-15","40km DWDM"
"852723","151807290","PKGF10GB3","39.84","85",".56","1.56","-1.25","1552.522","1.845","10.6","4.59","-999","-999","-999","-999","-999","-999","50",".1595","-999","2070.192","41.33366","FAIL","7","C","1656L031","FAIL_TUNING","24-JUN-15","80km DWDM"
"852916","151807803","PKGF10GB3","40.04","56.47",".4","1.35","-.8","1468.318","2.004","10.3",".37","20","49.02","22.3","22.3",".57","1.98","50",".1457","5.33455","1065.461","23.39429","PASS","1","C","1625L0147","PASS","18-MAY-15","40km CWDM"
"856383","151908612","PKGF10GB3","40.63","64",".49","1.43","-.8","1558.175","1.634","10.5",".51","20","52.42","20.7","23.7",".49","1.8","49",".1535","5.20256","577.249","26.69866","PASS","4","C","1655L024","PASS","04-JUN-15","40km DWDM"
"CK-856502","151908893","PKGF10GB2","44.64","61",".4","1.41","-.7","1554.133",".939","11.5",".77","20","51.75","19.7","22.1","1.93","2.15","50",".1542","4.44343","548.943","24.07336","PASS","6","C","1655L129","PASS","17-JUN-15","40km DWDM"
"857575","152001418","PKGF10GB6","35.05","-999","0","0","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999",".0001","-999","-999","-999","FAIL","1","C","1656L0T","FAIL_IPD_CONTACT","31-MAY-15","80km TDM"
"858134","152002674","PKGF10GB1","35","-999","-.06","0","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999",".0008","-999","-999","-999","FAIL","5","C","1626L0147","FAIL_IPD_CONTACT","19-JUN-15","70km CWDM"
"858258","152003233","PKGF10GB1","30.1","90.84",".3","1.46","-1.35","1588.415","1.039","9.9","2.57","16","53.51","15.7","25","1.57","2.64","50",".1344","8.04227","1375.492","47.31592","PASS","2","C","1626L0159","PASS","14-JUN-15","70km CWDM"
"858397","152003373","PKGF10GB1","34","94.9",".3","1.48","-1.35","1590.078",".797","10.4","2.1","13","51.22","-999","-999","-999","2.54","50",".1352","6.82612","2043.879","43.44989","FAIL","9","C","1626L0159","FAIL_IPD","22-JUN-15","70km CWDM"
"858441","152003502","PKGF10GB2","30.1","94.9",".75","1.53","-1.4","1590.362",".573","12.4","998.8","-999","-999","-999","-999","-999","-999","49",".1871","-999","1514.229","46.31003","FAIL","7","C","1626L0159","FAIL_TUNING","22-JUN-15","70km CWDM"
"858443","152003504","PKGF10GB1","30.1","94.9",".75","1.53","-1.45","1590.606",".293","12.2","998.8","-999","-999","-999","-999","-999","-999","49",".1713","-999","905.285","50.76573","FAIL","4","C","1626L3159","FAIL_TUNING","20-JUN-15","70km CWDM"
"858485","152003578","PKGF10GB2","-999","-999","-.05","-.02","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999",".0006","-999","-999","-999","FAIL","2","C","1626L0159","FAIL_TOP_CONTACT","28-MAY-15","70km CWDM"
"858877","152004775","PKGF10GB3","40","79.9",".4","1.4","-.95","1609.686",".901","12","1.64","20","53.47","20.6","23.6",".6","2.16","51",".1451","5.33455","794.385","32.31849","PASS","5","C","1625L0161","PASS","11-JUN-15","40km CWDM"
"859058","152005157","PKGF10GB1","30.05","95",".55","1.49","-1.5","1609.406",".597","11.1","3.6","3","52.03","19.4","25.8","2.16","2.91","48",".1563","8.06058","887.338","50.08279","FAIL","4","C","1626L0161","FAIL_DISP_PENALTY","06-JUN-15","70km CWDM 161"
"859498","152006042","PKGF10GB3","44.5","75",".68","1.58","-1.08","-999","2.515","11.1","2.97","1","-999","-999","-999","-999","2.42","49",".1704","-999","549.477","35.6281","FAIL","3","C","1626L0","FAIL_TUNING","08-JUN-15","80km TDM"
"859592","152006136","PKGF10GB5","35.11","95.0415","0","0","0","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-.0005","-999","-999","7.657067","FAIL","2","C","1656L0T","FAIL_LASER_OPEN_CIRCUIT","19-JUN-15","80km TDM"
"859651","152009610","PKGF10GB1","35","71",".58","1.5","-1.6","1609.163","2.11","9.8","4.06","-999","-999","-999","-999","-999","-999","50",".1576","-999","709.626","45.02307","FAIL","2","C","1626L0161","FAIL_TUNING","09-JUN-15","70km CWDM 161"
"859668","152009647","PKGF10GB1","30.1","94.9",".38","1.48","-1.6","1609.924",".518","9.9","4.23","-999","-999","-999","-999","-999","-999","49",".1415","-999","696.643","54.63402","FAIL","3","C","1626L0161","FAIL_TUNING","22-JUN-15","70km CWDM 161"
"859676","152009655","PKGF10GB1","35","-999","-.06","0","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999",".0008","-999","-999","-999","FAIL","3","C","1626L0161","FAIL_IPD_CONTACT","24-JUN-15","70km CWDM 161"
"859682","152009661","PKGF10GB1","30.1","93.56",".38","1.48","-1.43","1609.006",".735","11.3","2.9","0","51.29","16.7","24.1","2.08","2.87","49",".1409","8.04379","1708.846","49.02275","PASS","1","C","1626L0161","PASS","12-JUN-15","70km CWDM 161"
"859706","152009665","PKGF10GB1","30.1","94.9",".38","1.5","-1.58","1610.647","-.382","10.5","998.8","-999","-999","-999","-999","-999","-999","49",".141","-999","416.672","55.04818","FAIL","3","C","1626L0161","FAIL_TUNING","14-JUN-15","70km CWDM 161"
"859726","152009765","PKGF10GB1","35","-999","-.06","0","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999",".0008","-999","-999","-999","FAIL","3","C","1626L0161","FAIL_IPD_CONTACT","10-JUN-15","70km CWDM 161"
"859727","152009766","PKGF10GB1","30.98","87.95",".38","1.47","-1.5","1609.805","2.984","10","4.79","11","52.72","20.6","25.8",".81","2.39","51",".1419","7.74395","816.772","46.80541","FAIL","5","C","1626L0161","FAIL_DISP_PENALTY","19-JUN-15","70km CWDM 161"
"859772","152009831","PKGF10GB1","30.03","95",".5","1.45","-1.3","1609.709",".735","12.2","4.97","5","53.2","18.9","25.1","2.25","2.7","48",".1521","8.0621","1334.253","43.20984","FAIL","2","C","1626L0161","FAIL_DISP_PENALTY","06-JUN-15","70km CWDM 161"
"859780","152009839","PKGF10GB1","30.07","94.9",".33","1.49","-1.52","1610.156",".589","10.8","2.88","0","53.94","17.7","25.5","2.65","3.37","49",".1377","8.04456","535.656","52.588","PASS","3","C","1626L0161","PASS","14-JUN-15","70km CWDM 161"
"859810","152009869","PKGF10GB1","33","85",".28","1.47","-1.6","1610.892",".599","9.7","4.18","-999","-999","-999","-999","-999","-999","50",".1333","-999","418.047","50.73202","FAIL","6","C","1626L0161","FAIL_TUNING","08-JUN-15","70km CWDM 161"
